#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-293EFB575B970D3-2F5FE9434E18A6E
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-21T16:46:53	Run time	0:00:07:10
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#8 - >lcl|AP007255.1_prot_BAE48812.1_8 [locus_tag=amb0008] [protein=Uncharacterized protein] [protein_id=BAE48812.1] [location=8006..8665] [gbkey=CDS]	superfamily	327563	9	204	2.72278e-46	152.569	cl19481	LON_substr_bdg superfamily	 - 	 - 
Q#9 - >lcl|AP007255.1_prot_BAE48813.1_9 [locus_tag=amb0009] [protein=Uncharacterized conserved protein] [protein_id=BAE48813.1] [location=8677..8874] [gbkey=CDS]	specific	225391	9	63	5.24e-19	71.9432	COG2835	YcaR	 - 	cl01066
Q#9 - >lcl|AP007255.1_prot_BAE48813.1_9 [locus_tag=amb0009] [protein=Uncharacterized conserved protein] [protein_id=BAE48813.1] [location=8677..8874] [gbkey=CDS]	superfamily	321323	9	63	5.24e-19	71.9432	cl01066	Trm112p superfamily	 - 	 - 
Q#10 - >lcl|AP007255.1_prot_BAE48814.1_10 [locus_tag=amb0010] [protein=Uncharacterized protein conserved in bacteria] [protein_id=BAE48814.1] [location=8877..9326] [gbkey=CDS]	specific	226066	6	121	6.84836e-56	170.684	COG3536	COG3536	 - 	cl01414
Q#10 - >lcl|AP007255.1_prot_BAE48814.1_10 [locus_tag=amb0010] [protein=Uncharacterized protein conserved in bacteria] [protein_id=BAE48814.1] [location=8877..9326] [gbkey=CDS]	superfamily	321492	6	121	6.84836e-56	170.684	cl01414	DUF971 superfamily	 - 	 - 
Q#11 - >lcl|AP007255.1_prot_BAE48815.1_11 [locus_tag=amb0011] [protein=Uncharacterized conserved protein] [protein_id=BAE48815.1] [location=9333..9806] [gbkey=CDS]	specific	225326	5	143	4.73487e-41	134.681	COG2606	EbsC	 - 	cl00022
Q#11 - >lcl|AP007255.1_prot_BAE48815.1_11 [locus_tag=amb0011] [protein=Uncharacterized conserved protein] [protein_id=BAE48815.1] [location=9333..9806] [gbkey=CDS]	superfamily	320718	5	143	4.73487e-41	134.681	cl00022	YbaK_like superfamily	 - 	 - 
Q#12 - >lcl|AP007255.1_prot_BAE48816.1_12 [locus_tag=amb0012] [protein=2-polyprenyl-6-methoxyphenol hydroxylase] [protein_id=BAE48816.1] [location=complement(9900..11123)] [gbkey=CDS]	specific	223727	8	396	3.07701e-94	287.757	COG0654	UbiH	 - 	cl27552
Q#12 - >lcl|AP007255.1_prot_BAE48816.1_12 [locus_tag=amb0012] [protein=2-polyprenyl-6-methoxyphenol hydroxylase] [protein_id=BAE48816.1] [location=complement(9900..11123)] [gbkey=CDS]	superfamily	332373	8	396	3.07701e-94	287.757	cl27552	FAD_binding_3 superfamily	 - 	 - 
Q#13 - >lcl|AP007255.1_prot_BAE48817.1_13 [locus_tag=amb0013] [protein=Nitrogen regulatory protein PII] [protein_id=BAE48817.1] [location=11477..11815] [gbkey=CDS]	specific	223424	1	112	6.4412e-58	173.907	COG0347	GlnK	 - 	cl00412
Q#13 - >lcl|AP007255.1_prot_BAE48817.1_13 [locus_tag=amb0013] [protein=Nitrogen regulatory protein PII] [protein_id=BAE48817.1] [location=11477..11815] [gbkey=CDS]	superfamily	294287	1	112	6.4412e-58	173.907	cl00412	P-II superfamily	 - 	 - 
Q#14 - >lcl|AP007255.1_prot_BAE48818.1_14 [locus_tag=amb0014] [protein=Ammonia permease] [protein_id=BAE48818.1] [location=12202..13551] [gbkey=CDS]	specific	223083	42	448	2.38818e-169	481.308	COG0004	AmtB	 - 	cl03012
Q#14 - >lcl|AP007255.1_prot_BAE48818.1_14 [locus_tag=amb0014] [protein=Ammonia permease] [protein_id=BAE48818.1] [location=12202..13551] [gbkey=CDS]	superfamily	322161	42	448	2.38818e-169	481.308	cl03012	Ammonium_transp superfamily	 - 	 - 
Q#15 - >lcl|AP007255.1_prot_BAE48819.1_15 [locus_tag=amb0015] [protein=Aspartate/tyrosine/aromatic aminotransferase] [protein_id=BAE48819.1] [location=13972..15063] [gbkey=CDS]	specific	223513	1	361	1.4078e-65	212.52	COG0436	AspB	 - 	cl27741
Q#15 - >lcl|AP007255.1_prot_BAE48819.1_15 [locus_tag=amb0015] [protein=Aspartate/tyrosine/aromatic aminotransferase] [protein_id=BAE48819.1] [location=13972..15063] [gbkey=CDS]	superfamily	332562	1	361	1.4078e-65	212.52	cl27741	Aminotran_1_2 superfamily	 - 	 - 
Q#16 - >lcl|AP007255.1_prot_BAE48820.1_16 [locus_tag=amb0016] [protein=DNA segregation ATPase FtsK/SpoIIIE] [protein_id=BAE48820.1] [location=15071..17485] [gbkey=CDS]	specific	224588	286	798	0	545.983	COG1674	FtsK	N	cl28087
Q#16 - >lcl|AP007255.1_prot_BAE48820.1_16 [locus_tag=amb0016] [protein=DNA segregation ATPase FtsK/SpoIIIE] [protein_id=BAE48820.1] [location=15071..17485] [gbkey=CDS]	superfamily	332908	286	798	0	545.983	cl28087	FtsK superfamily	N	 - 
Q#17 - >lcl|AP007255.1_prot_BAE48821.1_17 [locus_tag=amb0017] [protein=Outer membrane lipoprotein-sorting protein] [protein_id=BAE48821.1] [location=17556..18212] [gbkey=CDS]	specific	225390	34	208	2.99735e-22	89.7737	COG2834	LolA	 - 	cl19192
Q#17 - >lcl|AP007255.1_prot_BAE48821.1_17 [locus_tag=amb0017] [protein=Outer membrane lipoprotein-sorting protein] [protein_id=BAE48821.1] [location=17556..18212] [gbkey=CDS]	superfamily	327516	34	208	2.99735e-22	89.7737	cl19192	LolA superfamily	 - 	 - 
Q#18 - >lcl|AP007255.1_prot_BAE48822.1_18 [locus_tag=amb0018] [protein=Exonuclease III] [protein_id=BAE48822.1] [location=18552..19343] [gbkey=CDS]	specific	223780	1	263	2.37457e-95	280.639	COG0708	XthA	 - 	cl00490
Q#18 - >lcl|AP007255.1_prot_BAE48822.1_18 [locus_tag=amb0018] [protein=Exonuclease III] [protein_id=BAE48822.1] [location=18552..19343] [gbkey=CDS]	superfamily	321002	1	263	2.37457e-95	280.639	cl00490	EEP superfamily	 - 	 - 
Q#19 - >lcl|AP007255.1_prot_BAE48823.1_19 [locus_tag=amb0019] [protein=Response regulator consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain] [protein_id=BAE48823.1] [location=complement(19513..20154)] [gbkey=CDS]	specific	223816	6	213	1.65202e-31	114.316	COG0745	OmpR	 - 	cl26036
Q#19 - >lcl|AP007255.1_prot_BAE48823.1_19 [locus_tag=amb0019] [protein=Response regulator consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain] [protein_id=BAE48823.1] [location=complement(19513..20154)] [gbkey=CDS]	superfamily	330857	6	213	1.65202e-31	114.316	cl26036	YesN superfamily	 - 	 - 
Q#20 - >lcl|AP007255.1_prot_BAE48824.1_20 [locus_tag=amb0020] [protein=GTP cyclohydrolase II] [protein_id=BAE48824.1] [location=20317..21429] [gbkey=CDS]	specific	223878	181	370	1.96362e-83	251.88	COG0807	RibA	 - 	cl00522
Q#20 - >lcl|AP007255.1_prot_BAE48824.1_20 [locus_tag=amb0020] [protein=GTP cyclohydrolase II] [protein_id=BAE48824.1] [location=20317..21429] [gbkey=CDS]	superfamily	321020	181	370	1.96362e-83	251.88	cl00522	GTP_cyclohydro2 superfamily	 - 	 - 
Q#22 - >lcl|AP007255.1_prot_BAE48826.1_22 [locus_tag=amb0022] [protein=Predicted enzyme with a TIM-barrel fold] [protein_id=BAE48826.1] [location=complement(22612..23262)] [gbkey=CDS]	specific	223402	4	216	1.24816e-99	287.963	COG0325	YggS	 - 	cl00261
Q#22 - >lcl|AP007255.1_prot_BAE48826.1_22 [locus_tag=amb0022] [protein=Predicted enzyme with a TIM-barrel fold] [protein_id=BAE48826.1] [location=complement(22612..23262)] [gbkey=CDS]	superfamily	320864	4	216	1.24816e-99	287.963	cl00261	PLPDE_III superfamily	 - 	 - 
Q#23 - >lcl|AP007255.1_prot_BAE48827.1_23 [locus_tag=amb0023] [protein=Thiamine monophosphate synthase] [protein_id=BAE48827.1] [location=23292..23891] [gbkey=CDS]	non-specific	223429	78	194	3.56406e-15	70.3569	COG0352	ThiE	N	cl21457
Q#23 - >lcl|AP007255.1_prot_BAE48827.1_23 [locus_tag=amb0023] [protein=Thiamine monophosphate synthase] [protein_id=BAE48827.1] [location=23292..23891] [gbkey=CDS]	superfamily	328726	78	194	3.56406e-15	70.3569	cl21457	ICL_KPHMT superfamily	N	 - 
Q#24 - >lcl|AP007255.1_prot_BAE48828.1_24 [locus_tag=amb0024] [protein=TPR repeat protein] [protein_id=BAE48828.1] [location=complement(23899..25428)] [gbkey=CDS]	specific	223533	6	187	8.88032e-11	62.5561	COG0457	TPR	N	cl26002
Q#24 - >lcl|AP007255.1_prot_BAE48828.1_24 [locus_tag=amb0024] [protein=TPR repeat protein] [protein_id=BAE48828.1] [location=complement(23899..25428)] [gbkey=CDS]	superfamily	330823	6	187	8.88032e-11	62.5561	cl26002	TPR_11 superfamily	N	 - 
Q#27 - >lcl|AP007255.1_prot_BAE48831.1_27 [locus_tag=amb0027] [protein=Leucyl-tRNA synthetase] [protein_id=BAE48831.1] [location=27722..30310] [gbkey=CDS]	specific	223569	11	862	0	1115.82	COG0495	LeuS	 - 	cl26128
Q#27 - >lcl|AP007255.1_prot_BAE48831.1_27 [locus_tag=amb0027] [protein=Leucyl-tRNA synthetase] [protein_id=BAE48831.1] [location=27722..30310] [gbkey=CDS]	superfamily	330949	11	862	0	1115.82	cl26128	tRNA-synt_1g superfamily	 - 	 - 
Q#28 - >lcl|AP007255.1_prot_BAE48832.1_28 [locus_tag=amb0028] [protein=Predicted secreted protein] [protein_id=BAE48832.1] [location=30297..30872] [gbkey=CDS]	non-specific	227755	19	166	6.05566e-18	76.8277	COG5468	COG5468	 - 	cl01125
Q#28 - >lcl|AP007255.1_prot_BAE48832.1_28 [locus_tag=amb0028] [protein=Predicted secreted protein] [protein_id=BAE48832.1] [location=30297..30872] [gbkey=CDS]	superfamily	321356	19	166	6.05566e-18	76.8277	cl01125	LptE superfamily	 - 	 - 
Q#29 - >lcl|AP007255.1_prot_BAE48833.1_29 [locus_tag=amb0029] [protein=DNA polymerase III] [protein_id=BAE48833.1] [location=30869..31891] [gbkey=CDS]	specific	224383	8	317	8.17121e-55	182.179	COG1466	HolA	 - 	cl27797
Q#29 - >lcl|AP007255.1_prot_BAE48833.1_29 [locus_tag=amb0029] [protein=DNA polymerase III] [protein_id=BAE48833.1] [location=30869..31891] [gbkey=CDS]	superfamily	332618	8	317	8.17121e-55	182.179	cl27797	DNA_pol3_delt_C superfamily	 - 	 - 
Q#31 - >lcl|AP007255.1_prot_BAE48835.1_31 [locus_tag=amb0031] [protein=NAD-specific glutamate dehydrogenase] [protein_id=BAE48835.1] [location=33060..37871] [gbkey=CDS]	specific	225455	12	1595	0	1817.36	COG2902	Gdh2	 - 	cl27081
Q#31 - >lcl|AP007255.1_prot_BAE48835.1_31 [locus_tag=amb0031] [protein=NAD-specific glutamate dehydrogenase] [protein_id=BAE48835.1] [location=33060..37871] [gbkey=CDS]	superfamily	331902	12	1595	0	1817.36	cl27081	Gdh2 superfamily	 - 	 - 
Q#32 - >lcl|AP007255.1_prot_BAE48836.1_32 [locus_tag=amb0032] [protein=Phosphoheptose isomerase] [protein_id=BAE48836.1] [location=37904..38482] [gbkey=CDS]	specific	223356	9	178	1.93855e-74	221.42	COG0279	GmhA	 - 	cl00389
Q#32 - >lcl|AP007255.1_prot_BAE48836.1_32 [locus_tag=amb0032] [protein=Phosphoheptose isomerase] [protein_id=BAE48836.1] [location=37904..38482] [gbkey=CDS]	superfamily	320949	9	178	1.93855e-74	221.42	cl00389	SIS superfamily	 - 	 - 
Q#35 - >lcl|AP007255.1_prot_BAE48839.1_35 [locus_tag=amb0035] [protein=Predicted carbamoyl transferase] [protein_id=BAE48839.1] [location=39159..40997] [gbkey=CDS]	specific	225103	1	595	0	691.784	COG2192	COG2192	 - 	cl27640
Q#35 - >lcl|AP007255.1_prot_BAE48839.1_35 [locus_tag=amb0035] [protein=Predicted carbamoyl transferase] [protein_id=BAE48839.1] [location=39159..40997] [gbkey=CDS]	superfamily	225103	1	595	0	691.784	cl27640	COG2192 superfamily	 - 	 - 
Q#36 - >lcl|AP007255.1_prot_BAE48840.1_36 [locus_tag=amb0036] [protein=Uncharacterized protein] [protein_id=BAE48840.1] [location=41021..42601] [gbkey=CDS]	non-specific	227658	1	525	3.13362e-68	229.317	COG5360	COG5360	 - 	cl26829
Q#36 - >lcl|AP007255.1_prot_BAE48840.1_36 [locus_tag=amb0036] [protein=Uncharacterized protein] [protein_id=BAE48840.1] [location=41021..42601] [gbkey=CDS]	superfamily	331650	1	525	3.13362e-68	229.317	cl26829	Hepar_II_III superfamily	 - 	 - 
Q#37 - >lcl|AP007255.1_prot_BAE48841.1_37 [locus_tag=amb0037] [protein=Xanthan biosynthesis protein xanB] [protein_id=BAE48841.1] [location=complement(42589..43983)] [gbkey=CDS]	specific	223906	4	328	1.40138e-161	459.392	COG0836	CpsB	 - 	cl28237
Q#37 - >lcl|AP007255.1_prot_BAE48841.1_37 [locus_tag=amb0037] [protein=Xanthan biosynthesis protein xanB] [protein_id=BAE48841.1] [location=complement(42589..43983)] [gbkey=CDS]	superfamily	333057	4	328	1.40138e-161	459.392	cl28237	CpsB superfamily	 - 	 - 
Q#37 - >lcl|AP007255.1_prot_BAE48841.1_37 [locus_tag=amb0037] [protein=Xanthan biosynthesis protein xanB] [protein_id=BAE48841.1] [location=complement(42589..43983)] [gbkey=CDS]	specific	223734	337	463	5.50887e-44	150.229	COG0662	ManC	 - 	cl21464
Q#37 - >lcl|AP007255.1_prot_BAE48841.1_37 [locus_tag=amb0037] [protein=Xanthan biosynthesis protein xanB] [protein_id=BAE48841.1] [location=complement(42589..43983)] [gbkey=CDS]	superfamily	328732	337	463	5.50887e-44	150.229	cl21464	cupin_like superfamily	 - 	 - 
Q#38 - >lcl|AP007255.1_prot_BAE48842.1_38 [locus_tag=amb0038] [protein=Nucleoside-diphosphate-sugar epimerase] [protein_id=BAE48842.1] [location=complement(43987..44943)] [gbkey=CDS]	specific	223528	1	317	2.39469e-52	174.36	COG0451	WcaG	 - 	cl25660
Q#38 - >lcl|AP007255.1_prot_BAE48842.1_38 [locus_tag=amb0038] [protein=Nucleoside-diphosphate-sugar epimerase] [protein_id=BAE48842.1] [location=complement(43987..44943)] [gbkey=CDS]	superfamily	330481	1	317	2.39469e-52	174.36	cl25660	Epimerase superfamily	 - 	 - 
Q#39 - >lcl|AP007255.1_prot_BAE48843.1_39 [locus_tag=amb0039] [protein=UDP-N-acetylmuramyl pentapeptide phosphotransferase] [protein_id=BAE48843.1] [location=complement(44940..45941)] [gbkey=CDS]	specific	223548	9	288	1.67223e-28	111.977	COG0472	Rfe	 - 	cl10571
Q#39 - >lcl|AP007255.1_prot_BAE48843.1_39 [locus_tag=amb0039] [protein=UDP-N-acetylmuramyl pentapeptide phosphotransferase] [protein_id=BAE48843.1] [location=complement(44940..45941)] [gbkey=CDS]	superfamily	324607	9	288	1.67223e-28	111.977	cl10571	GT_MraY-like superfamily	 - 	 - 
Q#40 - >lcl|AP007255.1_prot_BAE48844.1_40 [locus_tag=amb0040] [protein=Threonine dehydrogenase] [protein_id=BAE48844.1] [location=complement(45968..48127)] [gbkey=CDS]	specific	223745	401	719	5.44257e-43	158.485	COG0673	MviM	 - 	cl28197
Q#40 - >lcl|AP007255.1_prot_BAE48844.1_40 [locus_tag=amb0040] [protein=Threonine dehydrogenase] [protein_id=BAE48844.1] [location=complement(45968..48127)] [gbkey=CDS]	superfamily	333017	401	719	5.44257e-43	158.485	cl28197	MviM superfamily	 - 	 - 
Q#40 - >lcl|AP007255.1_prot_BAE48844.1_40 [locus_tag=amb0040] [protein=Threonine dehydrogenase] [protein_id=BAE48844.1] [location=complement(45968..48127)] [gbkey=CDS]	specific	223991	1	374	5.08461e-21	95.1411	COG1063	Tdh	 - 	cl25577
Q#40 - >lcl|AP007255.1_prot_BAE48844.1_40 [locus_tag=amb0040] [protein=Threonine dehydrogenase] [protein_id=BAE48844.1] [location=complement(45968..48127)] [gbkey=CDS]	superfamily	330398	1	374	5.08461e-21	95.1411	cl25577	PKS_ER superfamily	 - 	 - 
Q#41 - >lcl|AP007255.1_prot_BAE48845.1_41 [locus_tag=amb0041] [protein=Inhibitor of the KinA pathway to sporulation] [protein_id=BAE48845.1] [location=complement(48136..48702)] [gbkey=CDS]	non-specific	227351	8	177	3.96064e-10	56.4666	COG5018	KapD	 - 	cl10012
Q#41 - >lcl|AP007255.1_prot_BAE48845.1_41 [locus_tag=amb0041] [protein=Inhibitor of the KinA pathway to sporulation] [protein_id=BAE48845.1] [location=complement(48136..48702)] [gbkey=CDS]	superfamily	324557	8	177	3.96064e-10	56.4666	cl10012	DnaQ_like_exo superfamily	 - 	 - 
Q#42 - >lcl|AP007255.1_prot_BAE48846.1_42 [locus_tag=amb0042] [protein=Asparagine synthase] [protein_id=BAE48846.1] [location=48826..50583] [gbkey=CDS]	specific	223444	1	579	7.16739e-105	326.286	COG0367	AsnB	 - 	cl28298
Q#42 - >lcl|AP007255.1_prot_BAE48846.1_42 [locus_tag=amb0042] [protein=Asparagine synthase] [protein_id=BAE48846.1] [location=48826..50583] [gbkey=CDS]	superfamily	333118	1	579	7.16739e-105	326.286	cl28298	GlmS superfamily	 - 	 - 
Q#44 - >lcl|AP007255.1_prot_BAE48848.1_44 [locus_tag=amb0044] [protein=Predicted xylanase/chitin deacetylase] [protein_id=BAE48848.1] [location=51572..52408] [gbkey=CDS]	specific	223798	9	205	3.72906e-15	73.114	COG0726	CDA1	C	cl28302
Q#44 - >lcl|AP007255.1_prot_BAE48848.1_44 [locus_tag=amb0044] [protein=Predicted xylanase/chitin deacetylase] [protein_id=BAE48848.1] [location=51572..52408] [gbkey=CDS]	superfamily	333122	9	205	3.72906e-15	73.114	cl28302	CDA1 superfamily	C	 - 
Q#45 - >lcl|AP007255.1_prot_BAE48849.1_45 [locus_tag=amb0045] [protein=hypothetical protein] [protein_id=BAE48849.1] [location=52405..53517] [gbkey=CDS]	specific	223476	89	182	1.14384e-11	65.3444	COG0399	WecE	NC	cl18945
Q#45 - >lcl|AP007255.1_prot_BAE48849.1_45 [locus_tag=amb0045] [protein=hypothetical protein] [protein_id=BAE48849.1] [location=52405..53517] [gbkey=CDS]	superfamily	327488	89	182	1.14384e-11	65.3444	cl18945	AAT_I superfamily	NC	 - 
Q#46 - >lcl|AP007255.1_prot_BAE48850.1_46 [locus_tag=amb0046] [protein=Predicted Fe-S oxidoreductase] [protein_id=BAE48850.1] [location=complement(53514..54716)] [gbkey=CDS]	specific	223609	124	324	7.26465e-18	83.9133	COG0535	SkfB	C	cl28177
Q#46 - >lcl|AP007255.1_prot_BAE48850.1_46 [locus_tag=amb0046] [protein=Predicted Fe-S oxidoreductase] [protein_id=BAE48850.1] [location=complement(53514..54716)] [gbkey=CDS]	superfamily	332997	124	324	7.26465e-18	83.9133	cl28177	SkfB superfamily	C	 - 
Q#48 - >lcl|AP007255.1_prot_BAE48852.1_48 [locus_tag=amb0048] [protein=Transcription antitermination protein nusG] [protein_id=BAE48852.1] [location=55520..56023] [gbkey=CDS]	specific	223328	1	164	1.31451e-19	80.4451	COG0250	NusG	 - 	cl28343
Q#48 - >lcl|AP007255.1_prot_BAE48852.1_48 [locus_tag=amb0048] [protein=Transcription antitermination protein nusG] [protein_id=BAE48852.1] [location=55520..56023] [gbkey=CDS]	superfamily	333163	1	164	1.31451e-19	80.4451	cl28343	NusG superfamily	 - 	 - 
Q#49 - >lcl|AP007255.1_prot_BAE48853.1_49 [locus_tag=amb0049] [protein=dTDP-4-dehydrorhamnose 3,5-epimerase and related enzyme] [protein_id=BAE48853.1] [location=56093..56677] [gbkey=CDS]	specific	224810	14	177	9.40902e-65	196.735	COG1898	RfbC	 - 	cl21464
Q#49 - >lcl|AP007255.1_prot_BAE48853.1_49 [locus_tag=amb0049] [protein=dTDP-4-dehydrorhamnose 3,5-epimerase and related enzyme] [protein_id=BAE48853.1] [location=56093..56677] [gbkey=CDS]	superfamily	328732	14	177	9.40902e-65	196.735	cl21464	cupin_like superfamily	 - 	 - 
Q#51 - >lcl|AP007255.1_prot_BAE48855.1_51 [locus_tag=amb0051] [protein=SAM-dependent methyltransferase] [protein_id=BAE48855.1] [location=57432..58802] [gbkey=CDS]	non-specific	227310	127	291	8.21032e-08	53.2438	COG4976	COG4976	N	cl28098
Q#51 - >lcl|AP007255.1_prot_BAE48855.1_51 [locus_tag=amb0051] [protein=SAM-dependent methyltransferase] [protein_id=BAE48855.1] [location=57432..58802] [gbkey=CDS]	superfamily	332919	127	291	8.21032e-08	53.2438	cl28098	Tam superfamily	N	 - 
Q#52 - >lcl|AP007255.1_prot_BAE48856.1_52 [locus_tag=amb0052] [protein=Predicted pyridoxal phosphate-dependent enzyme] [protein_id=BAE48856.1] [location=58799..59899] [gbkey=CDS]	specific	223476	15	361	1.24251e-125	365.8	COG0399	WecE	 - 	cl18945
Q#52 - >lcl|AP007255.1_prot_BAE48856.1_52 [locus_tag=amb0052] [protein=Predicted pyridoxal phosphate-dependent enzyme] [protein_id=BAE48856.1] [location=58799..59899] [gbkey=CDS]	superfamily	327488	15	361	1.24251e-125	365.8	cl18945	AAT_I superfamily	 - 	 - 
Q#53 - >lcl|AP007255.1_prot_BAE48857.1_53 [locus_tag=amb0053] [protein=Acetyltransferase] [protein_id=BAE48857.1] [location=59892..60560] [gbkey=CDS]	specific	223188	118	218	8.19131e-21	85.7081	COG0110	WbbJ	N	cl28262
Q#53 - >lcl|AP007255.1_prot_BAE48857.1_53 [locus_tag=amb0053] [protein=Acetyltransferase] [protein_id=BAE48857.1] [location=59892..60560] [gbkey=CDS]	superfamily	333082	118	218	8.19131e-21	85.7081	cl28262	PaaY superfamily	N	 - 
Q#54 - >lcl|AP007255.1_prot_BAE48858.1_54 [locus_tag=amb0054] [protein=Predicted pyridoxal phosphate-dependent enzyme apparently] [protein_id=BAE48858.1] [location=60553..61668] [gbkey=CDS]	specific	223476	1	371	3.61261e-115	339.221	COG0399	WecE	 - 	cl18945
Q#54 - >lcl|AP007255.1_prot_BAE48858.1_54 [locus_tag=amb0054] [protein=Predicted pyridoxal phosphate-dependent enzyme apparently] [protein_id=BAE48858.1] [location=60553..61668] [gbkey=CDS]	superfamily	327488	1	371	3.61261e-115	339.221	cl18945	AAT_I superfamily	 - 	 - 
Q#56 - >lcl|AP007255.1_prot_BAE48860.1_56 [locus_tag=amb0056] [protein=Nucleoside-diphosphate-sugar epimerase] [protein_id=BAE48860.1] [location=62084..63028] [gbkey=CDS]	specific	223528	1	305	8.72587e-43	149.322	COG0451	WcaG	 - 	cl25660
Q#56 - >lcl|AP007255.1_prot_BAE48860.1_56 [locus_tag=amb0056] [protein=Nucleoside-diphosphate-sugar epimerase] [protein_id=BAE48860.1] [location=62084..63028] [gbkey=CDS]	superfamily	330481	1	305	8.72587e-43	149.322	cl25660	Epimerase superfamily	 - 	 - 
Q#57 - >lcl|AP007255.1_prot_BAE48861.1_57 [locus_tag=amb0057] [protein=Glycosyltransferase] [protein_id=BAE48861.1] [location=63025..64062] [gbkey=CDS]	specific	224137	8	196	3.8048e-15	74.8279	COG1216	GT2	C	cl26112
