#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-20D0E350F10A749B-1B13ACF69F6B10A2
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-20T15:23:22	Run time	0:00:11:39
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#10 - >lcl|CP000471.1_prot_ABK42539.1_10 [locus_tag=Mmc1_0010] [db_xref=InterPro:IPR002010,InterPro:IPR006303] [protein=flagellar biosynthetic protein FliR] [protein_id=ABK42539.1] [location=10733..11533] [gbkey=CDS]	superfamily	321136	21	266	4.62591e-30	113.069	cl00734	Bac_export_1 superfamily	 - 	 - 
Q#11 - >lcl|CP000471.1_prot_ABK42540.1_11 [locus_tag=Mmc1_0011] [db_xref=InterPro:IPR006135,InterPro:IPR006136] [protein=flagellar biosynthetic protein FlhB] [protein_id=ABK42540.1] [location=11564..12631] [gbkey=CDS]	specific	224295	1	355	5.75285e-148	421.635	COG1377	FlhB	 - 	cl19167
Q#11 - >lcl|CP000471.1_prot_ABK42540.1_11 [locus_tag=Mmc1_0011] [db_xref=InterPro:IPR006135,InterPro:IPR006136] [protein=flagellar biosynthetic protein FlhB] [protein_id=ABK42540.1] [location=11564..12631] [gbkey=CDS]	superfamily	327510	1	355	5.75285e-148	421.635	cl19167	Bac_export_2 superfamily	 - 	 - 
Q#12 - >lcl|CP000471.1_prot_ABK42541.1_12 [locus_tag=Mmc1_0012] [db_xref=InterPro:IPR003783] [protein=regulatory protein RecX] [protein_id=ABK42541.1] [location=12800..13252] [gbkey=CDS]	non-specific	225048	10	149	7.44543e-26	95.8442	COG2137	RecX	 - 	cl00936
Q#12 - >lcl|CP000471.1_prot_ABK42541.1_12 [locus_tag=Mmc1_0012] [db_xref=InterPro:IPR003783] [protein=regulatory protein RecX] [protein_id=ABK42541.1] [location=12800..13252] [gbkey=CDS]	superfamily	321260	10	149	7.44543e-26	95.8442	cl00936	RecX superfamily	 - 	 - 
Q#13 - >lcl|CP000471.1_prot_ABK42542.1_13 [locus_tag=Mmc1_0013] [db_xref=InterPro:IPR002318,InterPro:IPR003156,InterPro:IPR012947] [protein=alanyl-tRNA synthetase] [protein_id=ABK42542.1] [location=13357..15993] [gbkey=CDS]	specific	223092	1	877	0	1223.27	COG0013	AlaS	 - 	cl26819
Q#13 - >lcl|CP000471.1_prot_ABK42542.1_13 [locus_tag=Mmc1_0013] [db_xref=InterPro:IPR002318,InterPro:IPR003156,InterPro:IPR012947] [protein=alanyl-tRNA synthetase] [protein_id=ABK42542.1] [location=13357..15993] [gbkey=CDS]	superfamily	331640	1	877	0	1223.27	cl26819	tRNA_SAD superfamily	 - 	 - 
Q#14 - >lcl|CP000471.1_prot_ABK42543.1_14 [locus_tag=Mmc1_0014] [db_xref=InterPro:IPR004399,InterPro:IPR013749] [protein=phosphomethylpyrimidine kinase] [protein_id=ABK42543.1] [location=complement(16227..17009)] [gbkey=CDS]	specific	223428	1	253	5.7876e-89	264.065	COG0351	ThiD	 - 	cl00192
Q#14 - >lcl|CP000471.1_prot_ABK42543.1_14 [locus_tag=Mmc1_0014] [db_xref=InterPro:IPR004399,InterPro:IPR013749] [protein=phosphomethylpyrimidine kinase] [protein_id=ABK42543.1] [location=complement(16227..17009)] [gbkey=CDS]	superfamily	320807	1	253	5.7876e-89	264.065	cl00192	ribokinase_pfkB_like superfamily	 - 	 - 
Q#15 - >lcl|CP000471.1_prot_ABK42544.1_15 [locus_tag=Mmc1_0015] [db_xref=InterPro:IPR003593,InterPro:IPR004491,InterPro:IPR013093] [protein=heat shock protein HslVU, ATPase subunit HslU] [protein_id=ABK42544.1] [location=complement(17290..18675)] [gbkey=CDS]	specific	224141	1	461	0	731.758	COG1220	HslU	 - 	cl26528
Q#15 - >lcl|CP000471.1_prot_ABK42544.1_15 [locus_tag=Mmc1_0015] [db_xref=InterPro:IPR003593,InterPro:IPR004491,InterPro:IPR013093] [protein=heat shock protein HslVU, ATPase subunit HslU] [protein_id=ABK42544.1] [location=complement(17290..18675)] [gbkey=CDS]	superfamily	331349	1	461	0	731.758	cl26528	ClpX superfamily	 - 	 - 
Q#17 - >lcl|CP000471.1_prot_ABK42546.1_17 [locus_tag=Mmc1_0017] [db_xref=InterPro:IPR001353] [protein=HslV component of HslUV peptidase, Threonine peptidase, MEROPS family T01B] [protein_id=ABK42546.1] [location=complement(20282..20818)] [gbkey=CDS]	specific	227692	1	175	1.00145e-101	289.954	COG5405	HslV	 - 	cl00467
Q#17 - >lcl|CP000471.1_prot_ABK42546.1_17 [locus_tag=Mmc1_0017] [db_xref=InterPro:IPR001353] [protein=HslV component of HslUV peptidase, Threonine peptidase, MEROPS family T01B] [protein_id=ABK42546.1] [location=complement(20282..20818)] [gbkey=CDS]	superfamily	320988	1	175	1.00145e-101	289.954	cl00467	Ntn_hydrolase superfamily	 - 	 - 
Q#19 - >lcl|CP000471.1_prot_ABK42548.1_19 [locus_tag=Mmc1_0019] [db_xref=InterPro:IPR007471,InterPro:IPR007472] [protein=Arginyltransferase] [protein_id=ABK42548.1] [location=21209..21952] [gbkey=CDS]	non-specific	225486	12	245	1.62327e-91	269.985	COG2935	Ate1	 - 	cl27166
Q#19 - >lcl|CP000471.1_prot_ABK42548.1_19 [locus_tag=Mmc1_0019] [db_xref=InterPro:IPR007471,InterPro:IPR007472] [protein=Arginyltransferase] [protein_id=ABK42548.1] [location=21209..21952] [gbkey=CDS]	superfamily	331987	12	245	1.62327e-91	269.985	cl27166	ATE_N superfamily	 - 	 - 
Q#20 - >lcl|CP000471.1_prot_ABK42549.1_20 [locus_tag=Mmc1_0020] [db_xref=InterPro:IPR001977] [protein=dephospho-CoA kinase] [protein_id=ABK42549.1] [location=complement(22046..22708)] [gbkey=CDS]	specific	223315	1	200	2.63129e-57	179.79	COG0237	CoaE	 - 	cl28605
Q#20 - >lcl|CP000471.1_prot_ABK42549.1_20 [locus_tag=Mmc1_0020] [db_xref=InterPro:IPR001977] [protein=dephospho-CoA kinase] [protein_id=ABK42549.1] [location=complement(22046..22708)] [gbkey=CDS]	superfamily	333425	1	200	2.63129e-57	179.79	cl28605	CoaE superfamily	 - 	 - 
Q#21 - >lcl|CP000471.1_prot_ABK42550.1_21 [locus_tag=Mmc1_0021] [db_xref=InterPro:IPR000045,InterPro:IPR010627] [protein=type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A] [protein_id=ABK42550.1] [location=complement(22710..23507)] [gbkey=CDS]	specific	224900	13	250	4.55551e-37	131.37	COG1989	PulO	 - 	cl26949
Q#21 - >lcl|CP000471.1_prot_ABK42550.1_21 [locus_tag=Mmc1_0021] [db_xref=InterPro:IPR000045,InterPro:IPR010627] [protein=type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A] [protein_id=ABK42550.1] [location=complement(22710..23507)] [gbkey=CDS]	superfamily	331770	13	250	4.55551e-37	131.37	cl26949	DiS_P_DiS superfamily	 - 	 - 
Q#22 - >lcl|CP000471.1_prot_ABK42551.1_22 [locus_tag=Mmc1_0022] [db_xref=InterPro:IPR006151,InterPro:IPR011342,InterPro:IPR013708] [protein=shikimate dehydrogenase] [protein_id=ABK42551.1] [location=complement(23815..24675)] [gbkey=CDS]	specific	223247	8	281	6.7999e-102	298.798	COG0169	AroE	 - 	cl26732
Q#22 - >lcl|CP000471.1_prot_ABK42551.1_22 [locus_tag=Mmc1_0022] [db_xref=InterPro:IPR006151,InterPro:IPR011342,InterPro:IPR013708] [protein=shikimate dehydrogenase] [protein_id=ABK42551.1] [location=complement(23815..24675)] [gbkey=CDS]	superfamily	331553	8	281	6.7999e-102	298.798	cl26732	Shikimate_dh_N superfamily	 - 	 - 
Q#23 - >lcl|CP000471.1_prot_ABK42552.1_23 [locus_tag=Mmc1_0023] [db_xref=InterPro:IPR002678] [protein=protein of unknown function DUF34] [protein_id=ABK42552.1] [location=complement(24687..25445)] [gbkey=CDS]	specific	223404	2	252	4.90945e-76	230.658	COG0327	NIF3	 - 	cl15371
Q#23 - >lcl|CP000471.1_prot_ABK42552.1_23 [locus_tag=Mmc1_0023] [db_xref=InterPro:IPR002678] [protein=protein of unknown function DUF34] [protein_id=ABK42552.1] [location=complement(24687..25445)] [gbkey=CDS]	superfamily	326563	2	252	4.90945e-76	230.658	cl15371	NIF3 superfamily	 - 	 - 
Q#25 - >lcl|CP000471.1_prot_ABK42554.1_25 [locus_tag=Mmc1_0025] [db_xref=InterPro:IPR000257,InterPro:IPR006361] [protein=uroporphyrinogen decarboxylase] [protein_id=ABK42554.1] [location=27100..28170] [gbkey=CDS]	specific	223484	1	350	1.97832e-158	447.851	COG0407	HemE	 - 	cl00464
Q#25 - >lcl|CP000471.1_prot_ABK42554.1_25 [locus_tag=Mmc1_0025] [db_xref=InterPro:IPR000257,InterPro:IPR006361] [protein=uroporphyrinogen decarboxylase] [protein_id=ABK42554.1] [location=27100..28170] [gbkey=CDS]	superfamily	320986	1	350	1.97832e-158	447.851	cl00464	URO-D_CIMS_like superfamily	 - 	 - 
Q#26 - >lcl|CP000471.1_prot_ABK42555.1_26 [locus_tag=Mmc1_0026] [db_xref=InterPro:IPR004558,InterPro:IPR006638,InterPro:IPR007197,InterPro:IPR010723] [protein=coproporphyrinogen III oxidase, anaerobic] [protein_id=ABK42555.1] [location=28170..29576] [gbkey=CDS]	specific	223708	24	457	3.17401e-154	444.021	COG0635	HemN	 - 	cl28192
Q#26 - >lcl|CP000471.1_prot_ABK42555.1_26 [locus_tag=Mmc1_0026] [db_xref=InterPro:IPR004558,InterPro:IPR006638,InterPro:IPR007197,InterPro:IPR010723] [protein=coproporphyrinogen III oxidase, anaerobic] [protein_id=ABK42555.1] [location=28170..29576] [gbkey=CDS]	superfamily	333012	24	457	3.17401e-154	444.021	cl28192	HemN superfamily	 - 	 - 
Q#27 - >lcl|CP000471.1_prot_ABK42556.1_27 [locus_tag=Mmc1_0027] [db_xref=InterPro:IPR002937,InterPro:IPR004572,InterPro:IPR006076] [protein=protoporphyrinogen oxidase] [protein_id=ABK42556.1] [location=29839..31230] [gbkey=CDS]	non-specific	224153	18	460	8.59786e-87	272.283	COG1232	HemY	 - 	cl27533
Q#27 - >lcl|CP000471.1_prot_ABK42556.1_27 [locus_tag=Mmc1_0027] [db_xref=InterPro:IPR002937,InterPro:IPR004572,InterPro:IPR006076] [protein=protoporphyrinogen oxidase] [protein_id=ABK42556.1] [location=29839..31230] [gbkey=CDS]	superfamily	332354	18	460	8.59786e-87	272.283	cl27533	HemY superfamily	 - 	 - 
Q#28 - >lcl|CP000471.1_prot_ABK42557.1_28 [locus_tag=Mmc1_0028] [db_xref=InterPro:IPR006054,InterPro:IPR006055,InterPro:IPR006309,InterPro:IPR013520] [protein=DNA polymerase III, epsilon subunit] [protein_id=ABK42557.1] [location=31230..31943] [gbkey=CDS]	specific	223916	1	179	2.73557e-56	179.27	COG0847	DnaQ	C	cl26203
Q#28 - >lcl|CP000471.1_prot_ABK42557.1_28 [locus_tag=Mmc1_0028] [db_xref=InterPro:IPR006054,InterPro:IPR006055,InterPro:IPR006309,InterPro:IPR013520] [protein=DNA polymerase III, epsilon subunit] [protein_id=ABK42557.1] [location=31230..31943] [gbkey=CDS]	superfamily	331024	1	179	2.73557e-56	179.27	cl26203	PolC superfamily	C	 - 
Q#29 - >lcl|CP000471.1_prot_ABK42558.1_29 [locus_tag=Mmc1_0029] [db_xref=InterPro:IPR008169,InterPro:IPR009056] [protein=cytochrome c553] [protein_id=ABK42558.1] [location=32014..32565] [gbkey=CDS]	non-specific	225418	104	180	8.53687e-08	48.5482	COG2863	CytC553	 - 	cl21467
Q#29 - >lcl|CP000471.1_prot_ABK42558.1_29 [locus_tag=Mmc1_0029] [db_xref=InterPro:IPR008169,InterPro:IPR009056] [protein=cytochrome c553] [protein_id=ABK42558.1] [location=32014..32565] [gbkey=CDS]	superfamily	328733	104	180	8.53687e-08	48.5482	cl21467	Cytochrom_C superfamily	 - 	 - 
Q#29 - >lcl|CP000471.1_prot_ABK42558.1_29 [locus_tag=Mmc1_0029] [db_xref=InterPro:IPR008169,InterPro:IPR009056] [protein=cytochrome c553] [protein_id=ABK42558.1] [location=32014..32565] [gbkey=CDS]	non-specific	225418	26	113	8.53687e-08	48.5482	COG2863	CytC553	N	cl21467
Q#29 - >lcl|CP000471.1_prot_ABK42558.1_29 [locus_tag=Mmc1_0029] [db_xref=InterPro:IPR008169,InterPro:IPR009056] [protein=cytochrome c553] [protein_id=ABK42558.1] [location=32014..32565] [gbkey=CDS]	superfamily	328733	26	113	8.53687e-08	48.5482	cl21467	Cytochrom_C superfamily	N	 - 
Q#31 - >lcl|CP000471.1_prot_ABK42560.1_31 [locus_tag=Mmc1_0031] [db_xref=InterPro:IPR001917,InterPro:IPR004723,InterPro:IPR004839] [protein=8-amino-7-oxononanoate synthase] [protein_id=ABK42560.1] [location=33413..34600] [gbkey=CDS]	specific	223234	7	385	1.52947e-136	395.083	COG0156	BioF	 - 	cl28185
Q#31 - >lcl|CP000471.1_prot_ABK42560.1_31 [locus_tag=Mmc1_0031] [db_xref=InterPro:IPR001917,InterPro:IPR004723,InterPro:IPR004839] [protein=8-amino-7-oxononanoate synthase] [protein_id=ABK42560.1] [location=33413..34600] [gbkey=CDS]	superfamily	333005	7	385	1.52947e-136	395.083	cl28185	BioF superfamily	 - 	 - 
Q#32 - >lcl|CP000471.1_prot_ABK42561.1_32 [locus_tag=Mmc1_0032] [protein=biotin synthesis protein BioH] [protein_id=ABK42561.1] [location=34673..35371] [gbkey=CDS]	specific	223669	1	230	1.20285e-06	48.0855	COG0596	MhpC	 - 	cl26327
Q#32 - >lcl|CP000471.1_prot_ABK42561.1_32 [locus_tag=Mmc1_0032] [protein=biotin synthesis protein BioH] [protein_id=ABK42561.1] [location=34673..35371] [gbkey=CDS]	superfamily	331148	1	230	1.20285e-06	48.0855	cl26327	Abhydrolase_1 superfamily	 - 	 - 
Q#33 - >lcl|CP000471.1_prot_ABK42562.1_33 [locus_tag=Mmc1_0033] [db_xref=InterPro:IPR011814,InterPro:IPR013216,InterPro:IPR013217] [protein=biotin biosynthesis protein BioC] [protein_id=ABK42562.1] [location=35368..36180] [gbkey=CDS]	non-specific	226591	40	150	1.02639e-10	60.0849	COG4106	Tam	C	cl28098
Q#33 - >lcl|CP000471.1_prot_ABK42562.1_33 [locus_tag=Mmc1_0033] [db_xref=InterPro:IPR011814,InterPro:IPR013216,InterPro:IPR013217] [protein=biotin biosynthesis protein BioC] [protein_id=ABK42562.1] [location=35368..36180] [gbkey=CDS]	superfamily	332919	40	150	1.02639e-10	60.0849	cl28098	Tam superfamily	C	 - 
Q#34 - >lcl|CP000471.1_prot_ABK42563.1_34 [locus_tag=Mmc1_0034] [db_xref=InterPro:IPR002684,InterPro:IPR006638,InterPro:IPR007197,InterPro:IPR010722] [protein=biotin synthase] [protein_id=ABK42563.1] [location=36233..37198] [gbkey=CDS]	specific	223576	17	321	2.84981e-101	300.716	COG0502	BioB	 - 	cl26930
Q#34 - >lcl|CP000471.1_prot_ABK42563.1_34 [locus_tag=Mmc1_0034] [db_xref=InterPro:IPR002684,InterPro:IPR006638,InterPro:IPR007197,InterPro:IPR010722] [protein=biotin synthase] [protein_id=ABK42563.1] [location=36233..37198] [gbkey=CDS]	superfamily	331751	17	321	2.84981e-101	300.716	cl26930	BATS superfamily	 - 	 - 
Q#36 - >lcl|CP000471.1_prot_ABK42565.1_36 [locus_tag=Mmc1_0036] [db_xref=InterPro:IPR004472] [protein=dethiobiotin synthase] [protein_id=ABK42565.1] [location=37867..38487] [gbkey=CDS]	specific	223210	8	206	5.21883e-57	179.398	COG0132	BioD	 - 	cl21455
Q#36 - >lcl|CP000471.1_prot_ABK42565.1_36 [locus_tag=Mmc1_0036] [db_xref=InterPro:IPR004472] [protein=dethiobiotin synthase] [protein_id=ABK42565.1] [location=37867..38487] [gbkey=CDS]	superfamily	328724	8	206	5.21883e-57	179.398	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#37 - >lcl|CP000471.1_prot_ABK42566.1_37 [locus_tag=Mmc1_0037] [db_xref=InterPro:IPR005814,InterPro:IPR005815] [protein=adenosylmethionine-8-amino-7-oxononanoate aminotransferase apoenzyme] [protein_id=ABK42566.1] [location=38622..39935] [gbkey=CDS]	specific	223239	6	437	1.13113e-156	450.46	COG0161	BioA	 - 	cl18945
Q#37 - >lcl|CP000471.1_prot_ABK42566.1_37 [locus_tag=Mmc1_0037] [db_xref=InterPro:IPR005814,InterPro:IPR005815] [protein=adenosylmethionine-8-amino-7-oxononanoate aminotransferase apoenzyme] [protein_id=ABK42566.1] [location=38622..39935] [gbkey=CDS]	superfamily	327488	6	437	1.13113e-156	450.46	cl18945	AAT_I superfamily	 - 	 - 
Q#39 - >lcl|CP000471.1_prot_ABK42568.1_39 [locus_tag=Mmc1_0039] [db_xref=InterPro:IPR003721] [protein=pantothenate synthetase] [protein_id=ABK42568.1] [location=complement(41900..42769)] [gbkey=CDS]	specific	223491	7	279	6.4069e-136	385.428	COG0414	PanC	 - 	cl00015
Q#39 - >lcl|CP000471.1_prot_ABK42568.1_39 [locus_tag=Mmc1_0039] [db_xref=InterPro:IPR003721] [protein=pantothenate synthetase] [protein_id=ABK42568.1] [location=complement(41900..42769)] [gbkey=CDS]	superfamily	320711	7	279	6.4069e-136	385.428	cl00015	nt_trans superfamily	 - 	 - 
Q#40 - >lcl|CP000471.1_prot_ABK42569.1_40 [locus_tag=Mmc1_0040] [db_xref=InterPro:IPR003700] [protein=ketopantoate hydroxymethyltransferase] [protein_id=ABK42569.1] [location=complement(42778..43584)] [gbkey=CDS]	specific	223490	4	267	8.74946e-144	403.505	COG0413	PanB	 - 	cl21457
Q#40 - >lcl|CP000471.1_prot_ABK42569.1_40 [locus_tag=Mmc1_0040] [db_xref=InterPro:IPR003700] [protein=ketopantoate hydroxymethyltransferase] [protein_id=ABK42569.1] [location=complement(42778..43584)] [gbkey=CDS]	superfamily	328726	4	267	8.74946e-144	403.505	cl21457	ICL_KPHMT superfamily	 - 	 - 
Q#41 - >lcl|CP000471.1_prot_ABK42570.1_41 [locus_tag=Mmc1_0041] [db_xref=InterPro:IPR000550] [protein=2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase] [protein_id=ABK42570.1] [location=complement(43642..44085)] [gbkey=CDS]	specific	223872	5	141	2.47893e-45	145.097	COG0801	FolK	 - 	cl00233
Q#41 - >lcl|CP000471.1_prot_ABK42570.1_41 [locus_tag=Mmc1_0041] [db_xref=InterPro:IPR000550] [protein=2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase] [protein_id=ABK42570.1] [location=complement(43642..44085)] [gbkey=CDS]	superfamily	320842	5	141	2.47893e-45	145.097	cl00233	HPPK superfamily	 - 	 - 
Q#42 - >lcl|CP000471.1_prot_ABK42571.1_42 [locus_tag=Mmc1_0042] [db_xref=InterPro:IPR003709,InterPro:IPR006311] [protein=peptidase M15B and M15C, D,D-carboxypeptidase VanY/endolysin] [protein_id=ABK42571.1] [location=complement(44151..45026)] [gbkey=CDS]	non-specific	224788	192	285	1.34804e-05	45.1336	COG1876	LdcB	N	cl26149
Q#42 - >lcl|CP000471.1_prot_ABK42571.1_42 [locus_tag=Mmc1_0042] [db_xref=InterPro:IPR003709,InterPro:IPR006311] [protein=peptidase M15B and M15C, D,D-carboxypeptidase VanY/endolysin] [protein_id=ABK42571.1] [location=complement(44151..45026)] [gbkey=CDS]	superfamily	224788	192	285	1.34804e-05	45.1336	cl26149	LdcB superfamily	N	 - 
Q#43 - >lcl|CP000471.1_prot_ABK42572.1_43 [locus_tag=Mmc1_0043] [protein=peptidase M14, carboxypeptidase A] [protein_id=ABK42572.1] [location=45368..46315] [gbkey=CDS]	non-specific	225421	91	182	9.59007e-06	46.3261	COG2866	MpaA	NC	cl27445
Q#43 - >lcl|CP000471.1_prot_ABK42572.1_43 [locus_tag=Mmc1_0043] [protein=peptidase M14, carboxypeptidase A] [protein_id=ABK42572.1] [location=45368..46315] [gbkey=CDS]	superfamily	225421	91	182	9.59007e-06	46.3261	cl27445	MpaA superfamily	NC	 - 
Q#44 - >lcl|CP000471.1_prot_ABK42573.1_44 [locus_tag=Mmc1_0044] [db_xref=InterPro:IPR001176,InterPro:IPR004839] [protein=aminotransferase] [protein_id=ABK42573.1] [location=46312..47529] [gbkey=CDS]	specific	223513	5	393	6.16867e-101	304.968	COG0436	AspB	 - 	cl27741
Q#44 - >lcl|CP000471.1_prot_ABK42573.1_44 [locus_tag=Mmc1_0044] [db_xref=InterPro:IPR001176,InterPro:IPR004839] [protein=aminotransferase] [protein_id=ABK42573.1] [location=46312..47529] [gbkey=CDS]	superfamily	332562	5	393	6.16867e-101	304.968	cl27741	Aminotran_1_2 superfamily	 - 	 - 
Q#45 - >lcl|CP000471.1_prot_ABK42574.1_45 [locus_tag=Mmc1_0045] [db_xref=InterPro:IPR001451,InterPro:IPR005664] [protein=2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase] [protein_id=ABK42574.1] [location=47652..48503] [gbkey=CDS]	specific	225082	1	281	8.79726e-112	323.488	COG2171	DapD	 - 	cl25958
Q#45 - >lcl|CP000471.1_prot_ABK42574.1_45 [locus_tag=Mmc1_0045] [db_xref=InterPro:IPR001451,InterPro:IPR005664] [protein=2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase] [protein_id=ABK42574.1] [location=47652..48503] [gbkey=CDS]	superfamily	330779	1	281	8.79726e-112	323.488	cl25958	THDPS_N_2 superfamily	 - 	 - 
Q#46 - >lcl|CP000471.1_prot_ABK42575.1_46 [locus_tag=Mmc1_0046] [db_xref=InterPro:IPR002933,InterPro:IPR005941,InterPro:IPR011650] [protein=succinyldiaminopimelate desuccinylase] [protein_id=ABK42575.1] [location=48503..49666] [gbkey=CDS]	specific	223697	7	382	3.95025e-104	313.252	COG0624	ArgE	 - 	cl27542
Q#46 - >lcl|CP000471.1_prot_ABK42575.1_46 [locus_tag=Mmc1_0046] [db_xref=InterPro:IPR002933,InterPro:IPR005941,InterPro:IPR011650] [protein=succinyldiaminopimelate desuccinylase] [protein_id=ABK42575.1] [location=48503..49666] [gbkey=CDS]	superfamily	332363	7	382	3.95025e-104	313.252	cl27542	Peptidase_M20 superfamily	 - 	 - 
Q#47 - >lcl|CP000471.1_prot_ABK42576.1_47 [locus_tag=Mmc1_0047] [protein=ferredoxin, 2Fe-2S] [protein_id=ABK42576.1] [location=complement(49806..50117)] [gbkey=CDS]	non-specific	225945	48	102	1.66252e-18	72.4439	COG3411	2Fe2S	 - 	cl00388
